Gene name,Mouse gene,Ensembl_id
STN1,Stn1,ENSG00000107960
TRA2A,Tra2a,ENSG00000164548
NEK4,Nek4,ENSG00000114904
ARB2A,Arb2a,ENSG00000113391
CPNE5,Cpne5,ENSG00000124772
BAG2,Bag2,ENSG00000112208
WIPI1,Wipi1,ENSG00000070540
SLC30A4,Slc30a4,ENSG00000104154
PNO1,Pno1,ENSG00000115946
ILK,Ilk,ENSG00000166333
PSMD3,Psmd3,ENSG00000108344
ARPC5L,Arpc5l,ENSG00000136950
TFAP2E,Tfap2e,ENSG00000116819
SHOX2,Shox2,ENSG00000168779
GLIPR1L1,Glipr1l3,ENSG00000173401
GLIPR1L1,Glipr1l1,ENSG00000173401
PYM1,Pym1,ENSG00000170473
SRSF1,Srsf1,ENSG00000136450
NKAIN1,Nkain1,ENSG00000084628
RASD1,Rasd1,ENSG00000108551
RASD2,Rasd2,ENSG00000100302
GPR143,Gpr143,ENSG00000101850
CARHSP1,Carhsp1,ENSG00000153048
RPS10,Rps10,ENSG00000124614
TRIP13,Trip13,ENSG00000071539
STX3,Stx3,ENSG00000166900
MACROD2,Macrod2,ENSG00000172264
APRT,Aprt,ENSG00000198931
ARHGDIG,Arhgdig,ENSG00000242173
ARHGDIB,Arhgdib,ENSG00000111348
GADD45A,Gadd45a,ENSG00000116717
GMPS,Gmps,ENSG00000163655
MTAP,Mtap,ENSG00000099810
MFF,Mff,ENSG00000168958
MGAT1,Mgat1,ENSG00000131446
MBOAT7,Mboat7,ENSG00000125505
SLC22A4,Slc22a4,ENSG00000197208
IRF7,Irf7,ENSG00000185507
STC1,Stc1,ENSG00000159167
SLC5A1,Slc5a1,ENSG00000100170
SLC5A4,Slc5a4b,ENSG00000100191
SLC5A4,Slc5a4a,ENSG00000100191
CYBA,Cyba,ENSG00000051523
AMMECR1,Ammecr1,ENSG00000101935
PDHX,Pdhx,ENSG00000110435
NAT10,Nat10,ENSG00000135372
PEX13,Pex13,ENSG00000162928
TIAL1,Tial1,ENSG00000151923
GMPPA,Gmppa,ENSG00000144591
NDOR1,Ndor1,ENSG00000188566
DNM1L,Dnm1l,ENSG00000087470
PRPF31,Prpf31,ENSG00000105618
COX6B1,Cox6b1,ENSG00000126267
COX6B2,Cox6b2,ENSG00000160471
LSM14A,Lsm14a,ENSG00000257103
EFTUD2,Eftud2,ENSG00000108883
HTATSF1,Htatsf1,ENSG00000102241
HIBADH,Hibadh,ENSG00000106049
CTSS,Ctss,ENSG00000163131
CCDC43,Ccdc43,ENSG00000180329
PFDN6,Pfdn6,ENSG00000204220
KLC1,Klc1,ENSG00000126214
MLH1,Mlh1,ENSG00000076242
MED27,Med27,ENSG00000160563
TIPRL,Tiprl,ENSG00000143155
ILVBL,Ilvbl,ENSG00000105135
QTRT1,Qtrt1,ENSG00000213339
NDUFA11,Ndufa11,ENSG00000174886
SPAG7,Spag7,ENSG00000091640
MFSD4A,Mfsd4a,ENSG00000174514
LSM4,Lsm4,ENSG00000130520
DESI1,Desi1,ENSG00000100418
CALB2,Calb2,ENSG00000172137
RPL8,Rpl8,ENSG00000161016
SLC25A3,Slc25a3,ENSG00000075415
CDC123,Cdc123,ENSG00000151465
NECAP1,Necap1,ENSG00000089818
COPS5,Cops5,ENSG00000121022
SSU72,Ssu72,ENSG00000160075
NDUFB10,Ndufb10,ENSG00000140990
ABI1,Abi1,ENSG00000136754
SKP1,Skp1,ENSG00000113558
REXO2,Rexo2,ENSG00000076043
EDF1,Edf1,ENSG00000107223
AMPH,Amph,ENSG00000078053
GNB5,Gnb5,ENSG00000069966
RPS19,Rps19,ENSG00000105372
HSBP1,Hsbp1,ENSG00000230989
SLC25A51,Slc25a51,ENSG00000122696
SLC25A52,Slc25a51,ENSG00000141437
RWDD3,Rwdd3,ENSG00000122481
SNRK,Snrk,ENSG00000163788
DNAJC19,Dnajc19,ENSG00000205981
PPP1R3C,Ppp1r3c,ENSG00000119938
TRAPPC4,Trappc4,ENSG00000196655
MRPL57,Mrpl57,ENSG00000173141
TFDP1,Tfdp1,ENSG00000198176
TFDP3,Tfdp1,ENSG00000183434
TBC1D7,Tbc1d7,ENSG00000145979
CHMP7,Chmp7,ENSG00000147457
XRCC4,Xrcc4,ENSG00000152422
SSX2IP,Ssx2ip,ENSG00000117155
TMEM126A,Tmem126a,ENSG00000171202
TMEM126B,Tmem126b,ENSG00000171204
COX4I2,Cox4i2,ENSG00000131055
RPRM,Rprm,ENSG00000177519
MIX23,Mix23,ENSG00000160124
NDUFB6,Ndufb6,ENSG00000165264
DPM3,Dpm3,ENSG00000179085
RPS25,Rps25,ENSG00000118181
ARL13A,Arl13a,ENSG00000174225
TXN2,Txn2,ENSG00000100348
CBR4,Cbr4,ENSG00000145439
PIGF,Pigf,ENSG00000151665
SCAMP1,Scamp1,ENSG00000085365
HYCC1,Hycc1,ENSG00000122591
NHLH2,Nhlh2,ENSG00000177551
CFL2,Cfl2,ENSG00000165410
ZNF410,Zfp410,ENSG00000119725
SNRPB,Snrpb,ENSG00000125835
SNRPN,Snrpn,ENSG00000128739
PDPK1,Pdpk1,ENSG00000140992
PDPK2P,Pdpk1,ENSG00000205918
NPTN,Nptn,ENSG00000156642
ATAD3A,Atad3a,ENSG00000197785
ATAD3B,Atad3a,ENSG00000160072
ATAD3C,Atad3a,ENSG00000215915
HDHD5,Hdhd5,ENSG00000069998
FASTKD1,Fastkd1,ENSG00000138399
TMEM62,Tmem62,ENSG00000137842
SLC30A6,Slc30a6,ENSG00000152683
LHFPL2,Lhfpl2,ENSG00000145685
SLC30A1,Slc30a1,ENSG00000170385
FKBP8,Fkbp8,ENSG00000105701
CTNNBL1,Ctnnbl1,ENSG00000132792
MYOZ2,Myoz2,ENSG00000172399
HNRNPF,Hnrnpf,ENSG00000169813
HNRNPH2,Hnrnph2,ENSG00000126945
HNRNPH1,Hnrnph1,ENSG00000169045
PPA2,Ppa2,ENSG00000138777
NDUFB8,Ndufb8,ENSG00000166136
TOR1B,Tor1b,ENSG00000136816
TCEA3,Tcea3,ENSG00000204219
CSRP2,Csrp2,ENSG00000175183
ARL5C,Arl5c,ENSG00000141748
CD151,Cd151,ENSG00000177697
SLC25A20,Slc25a20,ENSG00000178537
RAD1,Rad1,ENSG00000113456
HEATR3,Heatr3,ENSG00000155393
U2AF2,U2af2,ENSG00000063244
DNASE1L1,Dnase1l1,ENSG00000013563
DAO,Dao,ENSG00000110887
NAPRT,Naprt,ENSG00000147813
C8G,C8g,ENSG00000176919
SPO11,Spo11,ENSG00000054796
ERP44,Erp44,ENSG00000023318
TESC,Tescl,ENSG00000088992
TESC,Tesc,ENSG00000088992
TMEM45B,Tmem45b,ENSG00000151715
ZNRF1,Znrf1,ENSG00000186187
AMPD1,Ampd1,ENSG00000116748
TPPP3,Tppp3,ENSG00000159713
CDA,Cda,ENSG00000158825
DNAJC2,Dnajc2,ENSG00000105821
UBE2Q2,Ube2q2l,ENSG00000140367
UBE2Q2,Ube2q2,ENSG00000140367
EIF3I,Eif3i,ENSG00000084623
HNRNPK,Hnrnpk,ENSG00000165119
AGPAT4,Agpat4,ENSG00000026652
RSL24D1,Rsl24d1,ENSG00000137876
RIOK1,Riok1,ENSG00000124784
ACBD3,Acbd3,ENSG00000182827
ETFB,Etfb,ENSG00000105379
PSMA4,Psma4,ENSG00000041357
KLHL20,Klhl20,ENSG00000076321
GGCT,Ggct,ENSG00000006625
CLUAP1,Cluap1,ENSG00000103351
CNIH1,Cnih1,ENSG00000100528
ACADM,Acadm,ENSG00000117054
CHAF1B,Chaf1b,ENSG00000159259
SLC37A2,Slc37a2,ENSG00000134955
TXNDC5,Txndc5,ENSG00000239264
PPIB,Ppib,ENSG00000166794
DYNLL1,Dynll1,ENSG00000088986
SUCLA2,Sucla2,ENSG00000136143
PSMG2,Psmg2,ENSG00000128789
GRB2,Grb2,ENSG00000177885
ZFAND5,Zfand5,ENSG00000107372
POC1A,Poc1a,ENSG00000164087
ACAA2,Acaa2,ENSG00000167315
DHPS,Dhps,ENSG00000095059
WDR24,Wdr24,ENSG00000127580
CAPRIN1,Caprin1,ENSG00000135387
TRAM2,Tram2,ENSG00000065308
MED15,Med15,ENSG00000099917
SLC35E1,Slc35e1,ENSG00000127526
RIPK4,Ripk4,ENSG00000183421
THAP12,Thap12,ENSG00000137492
SDR16C6P,Sdr16c6,ENSG00000253542
NTMT1,Ntmt1,ENSG00000148335
HACL1,Hacl1,ENSG00000131373
ADHFE1,Adhfe1,ENSG00000147576
ACBD4,Acbd4,ENSG00000181513
XPNPEP3,Xpnpep3,ENSG00000196236
PRPSAP2,Prpsap2,ENSG00000141127
WDR5B,Wdr5b,ENSG00000196981
WDR5,Wdr5,ENSG00000196363
RNGTT,Rngtt,ENSG00000111880
FOXD1,Foxd1,ENSG00000251493
TEAD1,Tead1,ENSG00000187079
TDRD7,Tdrd7,ENSG00000196116
CMPK1,Cmpk1,ENSG00000162368
GMFB,Gmfb,ENSG00000197045
GALC,Galc,ENSG00000054983
RABGGTB,Rabggtb,ENSG00000137955
ATAT1,Atat1,ENSG00000137343
KIRREL1,Kirrel1,ENSG00000183853
SUMO3,Sumo3,ENSG00000184900
NIPA2,Nipa2,ENSG00000140157
ITM2B,Itm2b,ENSG00000136156
AK3,Ak3,ENSG00000147853
DDOST,Ddost,ENSG00000244038
NDUFS8,Ndufs8,ENSG00000110717
VTA1,Vta1,ENSG00000009844
ARIH2,Arih2,ENSG00000177479
FUBP1,Fubp1,ENSG00000162613
WLS,Wls,ENSG00000116729
ACOX3,Acox3,ENSG00000087008
JUNB,Junb,ENSG00000171223
DHDH,Dhdh,ENSG00000104808
SLC25A33,Slc25a33,ENSG00000171612
SUMO1,Sumo1,ENSG00000116030
SH3BP5L,Sh3bp5l,ENSG00000175137
PRKAG1,Prkag1,ENSG00000181929
AMFR,Amfr,ENSG00000159461
YWHAH,Ywhah,ENSG00000128245
PSMA8,Psma8,ENSG00000154611
PSMA7,Psma7,ENSG00000101182
KDM2B,Kdm2b,ENSG00000089094
SQSTM1,Sqstm1,ENSG00000161011
SPCS3,Spcs3,ENSG00000129128
AGMO,Agmo,ENSG00000187546
TMEM37,Tmem37,ENSG00000171227
RCC1,Rcc1,ENSG00000180198
PGM2,Pgm2,ENSG00000169299
EIF5A,Eif5a,ENSG00000132507
EIF5AL1,Eif5a,ENSG00000253626
EIF5A2,Eif5a2,ENSG00000163577
DHDDS,Dhdds,ENSG00000117682
HOGA1,Hoga1,ENSG00000241935
PLA2G7,Pla2g7,ENSG00000146070
SLC22A6,Slc22a6,ENSG00000197901
TNFRSF1A,Tnfrsf1a,ENSG00000067182
LGALS3BP,Lgals3bp,ENSG00000108679
ORC5,Orc5,ENSG00000164815
GDPD3,Gdpd3,ENSG00000102886
ALDOA,Aldoa,ENSG00000149925
MSRB2,Msrb2,ENSG00000148450
TOMM40,Tomm40,ENSG00000130204
USP33,Usp33,ENSG00000077254
NUP58,Nup58,ENSG00000139496
NFE2L3,Nfe2l3,ENSG00000050344
ILF2,Ilf2,ENSG00000143621
ZC3H10,Zc3h10,ENSG00000135482
UCMA,Ucma,ENSG00000165623
AAMP,Aamp,ENSG00000127837
MRPL38,Mrpl38,ENSG00000204316
VDAC3,Vdac3,ENSG00000078668
SLC13A2,Slc13a2,ENSG00000007216
AMY1A,Amy2a1,ENSG00000237763
AMY1B,Amy2a1,ENSG00000174876
AMY1C,Amy2a1,ENSG00000187733
AMY2A,Amy2a1,ENSG00000243480
AMY2B,Amy2a1,ENSG00000240038
AMY1A,Amy2a2,ENSG00000237763
AMY1B,Amy2a2,ENSG00000174876
AMY1C,Amy2a2,ENSG00000187733
AMY2A,Amy2a2,ENSG00000243480
AMY2B,Amy2a2,ENSG00000240038
AMY1A,Amy2a4,ENSG00000237763
AMY1B,Amy2a4,ENSG00000174876
AMY1C,Amy2a4,ENSG00000187733
AMY2A,Amy2a4,ENSG00000243480
AMY2B,Amy2a4,ENSG00000240038
AMY1A,Amy2a3,ENSG00000237763
AMY1B,Amy2a3,ENSG00000174876
AMY1C,Amy2a3,ENSG00000187733
AMY2A,Amy2a3,ENSG00000243480
AMY2B,Amy2a3,ENSG00000240038
AMY1A,Amy2a5,ENSG00000237763
AMY1B,Amy2a5,ENSG00000174876
AMY1C,Amy2a5,ENSG00000187733
AMY2A,Amy2a5,ENSG00000243480
AMY2B,Amy2a5,ENSG00000240038
TTYH2,Ttyh2,ENSG00000141540
SLC25A25,Slc25a25,ENSG00000148339
SRSF9,Srsf9,ENSG00000111786
PABPN1,Pabpn1,ENSG00000100836
NPTX1,Nptx1,ENSG00000171246
HELZ,Helz,ENSG00000198265
PRKAR2A,Prkar2a,ENSG00000114302
ABHD14A,Abhd14a,ENSG00000248487
ASB7,Asb7,ENSG00000183475
HNRNPUL1,Hnrnpul1,ENSG00000105323
MCRS1,Mcrs1,ENSG00000187778
LEO1,Leo1,ENSG00000166477
FBXL15,Fbxl15,ENSG00000107872
CANT1,Cant1,ENSG00000171302
ANP32E,Anp32e,ENSG00000143401
RSRC2,Rsrc2,ENSG00000111011
DPYD,Dpyd,ENSG00000188641
FGGY,Fggy,ENSG00000172456
RBFOX2,Rbfox2,ENSG00000100320
UTP4,Utp4,ENSG00000141076
PCCB,Pccb,ENSG00000114054
STXBP2,Stxbp2,ENSG00000076944
GKAP1,Gkap1,ENSG00000165113
MCCC2,Mccc2,ENSG00000131844
FAM53B,Fam53b,ENSG00000189319
RPF2,Rpf2,ENSG00000197498
ETHE1,Ethe1,ENSG00000105755
TMUB1,Tmub1,ENSG00000164897
AK4,Ak4,ENSG00000162433
OTUD3,Otud3,ENSG00000169914
EXOC6,Exoc6,ENSG00000138190
NHEJ1,Nhej1,ENSG00000187736
PLSCR3,Plscr3,ENSG00000187838
PIK3CG,Pik3cg,ENSG00000105851
NUP43,Nup43,ENSG00000120253
ATP5PF,Atp5pf,ENSG00000154723
STK25,Stk25,ENSG00000115694
STAP2,Stap2,ENSG00000178078
EGLN3,Egln3,ENSG00000129521
STX11,Stx11,ENSG00000135604
PPP2R5D,Ppp2r5d,ENSG00000112640
TMED7,Tmed7,ENSG00000134970
TMED7-TICAM2,Tmed7,ENSG00000251201
CACYBP,Cacybp,ENSG00000116161
EHHADH,Ehhadh,ENSG00000113790
IRF5,Irf5,ENSG00000128604
NNT,Nnt,ENSG00000112992
ASF1B,Asf1b,ENSG00000105011
ASF1A,Asf1a,ENSG00000111875
CHMP3,Chmp3,ENSG00000115561
RNF103-CHMP3,Chmp3,ENSG00000249884
ERCC1,Ercc1,ENSG00000012061
PDCD10,Pdcd10,ENSG00000114209
TRIB3,Trib3,ENSG00000101255
GGH,Ggh,ENSG00000137563
CRTAP,Crtap,ENSG00000170275
PEBP1,Pbp2,ENSG00000089220
PEBP1,Pebp1,ENSG00000089220
KLHL21,Klhl21,ENSG00000162413
SGSM3,Sgsm3,ENSG00000100359
CYP20A1,Cyp20a1,ENSG00000119004
SLTM,Sltm,ENSG00000137776
TMEM59L,Tmem59l,ENSG00000105696
PPT1,Ppt1,ENSG00000131238
DDC,Ddc,ENSG00000132437
SRP19,Srp19,ENSG00000153037
NUDT9,Nudt9,ENSG00000170502
SMPD4,Smpd4,ENSG00000136699
GAB1,Gab1,ENSG00000109458
PI4K2A,Pi4k2a,ENSG00000155252
KYAT1,Kyat1,ENSG00000171097
PDCD6IP,Pdcd6ip,ENSG00000170248
BRD7,Brd7,ENSG00000166164
ADGRL4,Adgrl4,ENSG00000162618
EMC8,Emc8,ENSG00000131148
TMEM161B,Tmem161b,ENSG00000164180
ACTR1B,Actr1b,ENSG00000115073
ZNF330,Zfp330,ENSG00000109445
PPP2R1B,Ppp2r1b,ENSG00000137713
PPP2R1A,Ppp2r1a,ENSG00000105568
RPS11,Rps11,ENSG00000142534
MCOLN1,Mcoln1,ENSG00000090674
SRSF2,Srsf2,ENSG00000161547
VRK1,Vrk1,ENSG00000100749
CDC45,Cdc45,ENSG00000093009
PGK1,Pgk1,ENSG00000102144
PGK2,Pgk2,ENSG00000170950
POLL,Poll,ENSG00000166169
FEZ1,Fez1,ENSG00000149557
PFKFB3,Pfkfb3,ENSG00000170525
VAMP1,Vamp1,ENSG00000139190
STMN4,Stmn4,ENSG00000015592
GRTP1,Grtp1,ENSG00000139835
ZRANB2,Zranb2,ENSG00000132485
SMURF1,Smurf1,ENSG00000198742
GOLGA5,Golga5,ENSG00000066455
RAD51B,Rad51b,ENSG00000182185
EXOC7,Exoc7,ENSG00000182473
NUDT1,Nudt1,ENSG00000106268
MAP2K1,Map2k1,ENSG00000169032
RFTN2,Rftn2,ENSG00000162944
MED21,Med21,ENSG00000152944
AGPAT3,Agpat3,ENSG00000160216
HNRNPR,Hnrnpr,ENSG00000125944
PLA2G12B,Pla2g12b,ENSG00000138308
CMTR2,Cmtr2,ENSG00000180917
SASS6,Sass6,ENSG00000156876
YTHDF1,Ythdf1,ENSG00000149658
MAF1,Maf1,ENSG00000179632
SRRM1,Srrm1,ENSG00000133226
DERL1,Derl1,ENSG00000136986
TMEM129,Tmem129,ENSG00000168936
CANX,Canx,ENSG00000127022
PRPF4B,Prpf4b,ENSG00000112739
EIF4A2,Eif4a2,ENSG00000156976
ATP13A1,Atp13a1,ENSG00000105726
TMEM117,Tmem117,ENSG00000139173
STK38,Stk38,ENSG00000112079
CHMP4B,Chmp4b,ENSG00000101421
ARHGDIA,Arhgdia,ENSG00000141522
CWC25,Cwc25,ENSG00000273559
PPIG,Ppig,ENSG00000138398
SRSF6,Srsf6,ENSG00000124193
TEX10,Tex10,ENSG00000136891
TAX1BP3,Tax1bp3,ENSG00000213977
HSPA4,Hspa4,ENSG00000170606
STXBP3,Stxbp3,ENSG00000116266
STK24,Stk24,ENSG00000102572
KCTD10,Kctd10,ENSG00000110906
CNOT8,Cnot8,ENSG00000155508
RBM39,Rbm39,ENSG00000131051
MTREX,Mtrex,ENSG00000039123
NVL,Nvl,ENSG00000143748
CAND1,Cand1,ENSG00000111530
PRPF38B,Prpf38b,ENSG00000134186
OLFM2,Olfm2,ENSG00000105088
CUL1,Cul1,ENSG00000055130
CRIP2,Crip2,ENSG00000182809
ACTR2,Actr2,ENSG00000138071
CCNI,Ccni,ENSG00000118816
NEDD1,Nedd1,ENSG00000139350
FAR1,Far1,ENSG00000197601
GYG1,Gyg1,ENSG00000163754
ARGLU1,Arglu1,ENSG00000134884
SERINC5,Serinc5,ENSG00000164300
UBE2V2,Ube2v2,ENSG00000169139
CHMP2A,Chmp2a,ENSG00000130724
SESN3,Sesn3,ENSG00000149212
CIZ1,Ciz1,ENSG00000148337
TRIM36,Trim36,ENSG00000152503
TMEM50A,Tmem50a,ENSG00000183726
NUP133,Nup133,ENSG00000069248
CRKL,Crkl,ENSG00000099942
TYMS,Tyms,ENSG00000176890
USO1,Uso1,ENSG00000138768
NCOA4,Ncoa4,ENSG00000266412
EMC9,Emc9,ENSG00000100908
CRNKL1,Crnkl1,ENSG00000101343
TNFAIP8,Tnfaip8,ENSG00000145779
TNFAIP8L1,Tnfaip8l1,ENSG00000185361
CMTR1,Cmtr1,ENSG00000137200
LIPG,Lipg,ENSG00000101670
ANKRD10,Ankrd10,ENSG00000088448
TXNL1,Txnl1,ENSG00000091164
DCAF13,Dcaf13,ENSG00000164934
PDIA2,Pdia2,ENSG00000185615
UNK,Unk,ENSG00000132478
TNPO3,Tnpo3,ENSG00000064419
NUP155,Nup155,ENSG00000113569
FZR1,Fzr1,ENSG00000105325
CDC34,Cdc34,ENSG00000099804
CDC34,Cdc34b,ENSG00000099804
PPP2R3C,Ppp2r3c,ENSG00000092020
WASL,Wasl,ENSG00000106299
NELFCD,Nelfcd,ENSG00000101158
OXSR1,Oxsr1,ENSG00000172939
ZBTB2,Zbtb2,ENSG00000181472
ATP6V1D,Atp6v1d,ENSG00000100554
REEP3,Reep3,ENSG00000165476
HOMER3,Homer3,ENSG00000051128
RBPMS2,Rbpms2,ENSG00000166831
PITPNA,Pitpna,ENSG00000174238
RAD18,Rad18,ENSG00000070950
DMAP1,Dmap1,ENSG00000178028
CREB1,Creb1,ENSG00000118260
NEK2,Nek2,ENSG00000117650
SLC25A32,Slc25a32,ENSG00000164933
ACTR10,Actr10,ENSG00000131966
PRKCSH,Prkcsh,ENSG00000130175
USP44,Usp44,ENSG00000136014
PRC1,Prc1,ENSG00000198901
CHIC2,Chic2,ENSG00000109220
LSM14B,Lsm14b,ENSG00000149657
MOCS3,Mocs3,ENSG00000124217
WASHC3,Washc3,ENSG00000120860
ABHD2,Abhd2,ENSG00000140526
UMPS,Umps,ENSG00000114491
B4GALT6,B4galt6,ENSG00000118276
NUDT3,Nudt3,ENSG00000272325
RASL11B,Rasl11b,ENSG00000128045
ERGIC3,Ergic3,ENSG00000125991
STK38L,Stk38l,ENSG00000211455
ZW10,Zw10,ENSG00000086827
EPC2,Epc2,ENSG00000135999
VLDLR,Vldlr,ENSG00000147852
SAMM50,Samm50,ENSG00000100347
EDEM1,Edem1,ENSG00000134109
PSMD1,Psmd1,ENSG00000173692
ACAD11,Acad11,ENSG00000240303
CDC14B,Cdc14b,ENSG00000081377
CDC14C,Cdc14b,ENSG00000218305
CDC5L,Cdc5lrt6,ENSG00000096401
CDC5L,Cdc5lrt5,ENSG00000096401
CDC5L,Cdc5lrt7,ENSG00000096401
CDC5L,Cdc5lrt4,ENSG00000096401
CDC5L,Cdc5lrt1,ENSG00000096401
CDC5L,Cdc5lrt10,ENSG00000096401
CDC5L,Cdc5lrt9,ENSG00000096401
CDC5L,Cdc5lrt8,ENSG00000096401
CDC5L,Cdc5l,ENSG00000096401
PHKG2,Phkg2,ENSG00000156873
RMI1,Rmi1,ENSG00000178966
UPP2,Upp2,ENSG00000007001
APEX2,Apex2,ENSG00000169188
TUBG1,Tubg1,ENSG00000131462
TUBG2,Tubg2,ENSG00000037042
PTDSS1,Ptdss1,ENSG00000156471
CIAO1,Ciao1,ENSG00000144021
YJU2,Yju2,ENSG00000105248
ANKRD12,Ankrd12,ENSG00000101745
SERPINE2,Serpine2,ENSG00000135919
KDSR,Kdsr,ENSG00000119537
WWOX,Wwox,ENSG00000186153
SEPSECS,Sepsecs,ENSG00000109618
KIF18A,Kif18a,ENSG00000121621
KIF18B,Kif18b,ENSG00000186185
WDR45B,Wdr45b,ENSG00000141580
WASF2,Wasf2,ENSG00000158195
CDC23,Cdc23,ENSG00000094880
HERPUD2,Herpud2,ENSG00000122557
CCDC6,Ccdc6,ENSG00000108091
PLEKHF2,Plekhf2,ENSG00000175895
RBBP5,Rbbp5,ENSG00000117222
MINPP1,Minpp1,ENSG00000107789
SCPEP1,Scpep1,ENSG00000121064
CHD1L,Chd1l,ENSG00000131778
PITPNB,Pitpnb,ENSG00000180957
SF3A2,Sf3a2,ENSG00000104897
UNG,Ung,ENSG00000076248
AACS,Aacs,ENSG00000081760
UNC50,Unc50,ENSG00000115446
PDLIM5,Pdlim5,ENSG00000163110
EPHX1,Ephx1,ENSG00000143819
SMU1,Smu1,ENSG00000122692
SYAP1,Syap1,ENSG00000169895
LPP,Lpp,ENSG00000145012
GIPC2,Gipc2,ENSG00000137960
MITD1,Mitd1,ENSG00000158411
UVRAG,Uvrag,ENSG00000198382
METTL6,Mettl6,ENSG00000206562
ARPP19,Arpp19,ENSG00000128989
TAB2,Tab2,ENSG00000055208
PDK2,Pdk2,ENSG00000005882
YTHDF2,Ythdf2,ENSG00000198492
PPP6C,Ppp6c,ENSG00000119414
UBAP1,Ubap1,ENSG00000165006
TRMT11,Trmt11,ENSG00000066651
MCTS2,Mcts2,ENSG00000101898
MCTS1,Mcts1,ENSG00000232119
HMGCL,Hmgcl,ENSG00000117305
DMAC2L,Dmac2l,ENSG00000125375
RBM28,Rbm28,ENSG00000106344
TBCA,Tbca,ENSG00000171530
SLC43A2,Slc43a2,ENSG00000167703
RAD54L,Rad54l,ENSG00000085999
RPA3,Rpa3,ENSG00000106399
SNRNP40,Snrnp40,ENSG00000060688
PEX3,Pex3,ENSG00000034693
PDCD5,Pdcd5,ENSG00000105185
TCEA2,Tcea2,ENSG00000171703
H2AX,H2ax,ENSG00000188486
POLR3C,Polr3c,ENSG00000186141
XPNPEP1,Xpnpep1,ENSG00000108039
IGHV1-18,Ighv1-50,ENSG00000211945
IGHV1-2,Ighv1-50,ENSG00000211934
IGHV1-24,Ighv1-50,ENSG00000211950
IGHV1-3,Ighv1-50,ENSG00000211935
IGHV1-38-4,Ighv1-50,NA
IGHV1-45,Ighv1-50,ENSG00000211961
IGHV1-46,Ighv1-50,ENSG00000211962
IGHV1-58,Ighv1-50,ENSG00000211968
IGHV1-69,Ighv1-50,ENSG00000211973
IGHV1-69-2,Ighv1-50,ENSG00000281990
IGHV1-69D,Ighv1-50,ENSG00000280411
IGHV1OR15-1,Ighv1-50,ENSG00000270505
IGHV1OR15-9,Ighv1-50,ENSG00000188403
IGHV1OR21-1,Ighv1-50,ENSG00000277282
IGHV1-18,Ighv1-53,ENSG00000211945
IGHV1-2,Ighv1-53,ENSG00000211934
IGHV1-24,Ighv1-53,ENSG00000211950
IGHV1-3,Ighv1-53,ENSG00000211935
IGHV1-38-4,Ighv1-53,NA
IGHV1-45,Ighv1-53,ENSG00000211961
IGHV1-46,Ighv1-53,ENSG00000211962
IGHV1-58,Ighv1-53,ENSG00000211968
IGHV1-69,Ighv1-53,ENSG00000211973
IGHV1-69-2,Ighv1-53,ENSG00000281990
IGHV1-69D,Ighv1-53,ENSG00000280411
IGHV1OR15-1,Ighv1-53,ENSG00000270505
IGHV1OR15-9,Ighv1-53,ENSG00000188403
IGHV1OR21-1,Ighv1-53,ENSG00000277282
IGHV1-18,Ighv1-61,ENSG00000211945
IGHV1-2,Ighv1-61,ENSG00000211934
IGHV1-24,Ighv1-61,ENSG00000211950
IGHV1-3,Ighv1-61,ENSG00000211935
IGHV1-38-4,Ighv1-61,NA
IGHV1-45,Ighv1-61,ENSG00000211961
IGHV1-46,Ighv1-61,ENSG00000211962
IGHV1-58,Ighv1-61,ENSG00000211968
IGHV1-69,Ighv1-61,ENSG00000211973
IGHV1-69-2,Ighv1-61,ENSG00000281990
IGHV1-69D,Ighv1-61,ENSG00000280411
IGHV1OR15-1,Ighv1-61,ENSG00000270505
IGHV1OR15-9,Ighv1-61,ENSG00000188403
IGHV1OR21-1,Ighv1-61,ENSG00000277282
IGHV1-24,Ighv14-1,ENSG00000211950
IGHV1-69-2,Ighv14-1,ENSG00000281990
IGHV1-24,Ighv14-2,ENSG00000211950
IGHV1-69-2,Ighv14-2,ENSG00000281990
IGHV1-24,Ighv14-3,ENSG00000211950
IGHV1-69-2,Ighv14-3,ENSG00000281990
TCF12,Tcf12,ENSG00000140262
ARHGEF18,Arhgef18,ENSG00000104880
ABCB10,Abcb10,ENSG00000135776
TMX2,Tmx2,ENSG00000213593
LUC7L,Luc7l,ENSG00000007392
RBKS,Rbks,ENSG00000171174
GET3,Get3,ENSG00000198356
PSMC3IP,Psmc3ip,ENSG00000131470
GTF2F2,Gtf2f2,ENSG00000188342
MPDU1,Mpdu1,ENSG00000129255
PSMD8,Psmd8,ENSG00000099341
TMED4,Tmed4,ENSG00000158604
DRAM2,Dram2,ENSG00000156171
GOLGA7,Golga7,ENSG00000147533
COPS2,Cops2,ENSG00000166200
DHRS11,Dhrs11,ENSG00000278535
MED22,Med22,ENSG00000148297
CAB39,Cab39,ENSG00000135932
RPP40,Rpp40,ENSG00000124787
PIGK,Pigk,ENSG00000142892
RAP1A,Rap1a,ENSG00000116473
DCUN1D2,Dcun1d2,ENSG00000150401
EAF2,Eaf2,ENSG00000145088
GNPTG,Gnptg,ENSG00000090581
SAE1,Sae1,ENSG00000142230
SF3B6,Sf3b6,ENSG00000115128
